Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,236868822761,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,243698698324,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,3776666,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,191847246,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,21929392,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,39987291,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,216943907,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2484730,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2452493678,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,401097046,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,3750818428,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,3965869089,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,291022813,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,4078873211,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,61228393,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,752292457,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,470846153,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2410477848,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2386679531,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2059376968,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,36668434,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,18464297,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,52532507,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,36060005,,,4
H1,2018,2018,2018,0,0,1,Import,704,Viet Nam,VNM,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,157812370,,,4
H1,2018,2018,2018,0,0,2,Export,704,Viet Nam,VNM,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,702069961,,,4
