Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5051531691,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3829703514,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12789,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1243,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20527,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1145,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3724881,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14785,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1293,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,24724,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,686214,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,499871,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,94973,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1123810,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,199953,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1104897,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2889229,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,18797758,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15809352,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,396847,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2508555,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2153,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,411506,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1498821,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,38242,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,146325,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,278669,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20173,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,259887,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,42510373,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,52214181,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,105237,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,614965,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,64,Bhutan,BTN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,481,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,64,Bhutan,BTN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2994,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5344,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,58539,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,365128,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7531354,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4122150,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,133613,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,804152,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,86,Br. Indian Ocean Terr.,IOT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,134,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,90,Solomon Isds,SLB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,24706,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20664,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,228103,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,271,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4544775,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,825261,,,0
H1,2000,2000,2000,0,0,1,Import,233,Estonia,EST,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,85732,,,0
H1,2000,2000,2000,0,0,2,Export,233,Estonia,EST,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,16122,,,0
